video_trending_country,video_category_id,trending_appearances,total_views,avg_views,total_likes,rank
Jordan,Entertainment,15379,3460399376,3481287,109169272,2
Jordan,Music,11815,4450296510,7699475,106305843,3
Jordan,People & Blogs,9894,1264858073,919228,36041844,4
Jordan,Sports,4494,1147300403,2566668,32587931,5
Jordan,Film & Animation,1720,330134534,2215668,15175676,6
Jordan,Comedy,1422,124879204,1580749,5763960,7
Jordan,News & Politics,978,110469569,1363822,1633872,8
Jordan,Education,753,89331701,1900674,4037736,9
Jordan,Howto & Style,698,137141182,1063110,5725965,10
Kazakhstan,Gaming,24709,3954578593,637527,124984226,1
Kazakhstan,People & Blogs,12545,16227379975,12858463,311483619,2
Kazakhstan,Entertainment,9513,20058732393,24196300,548027853,3
Kazakhstan,Music,8276,2748153859,3509775,61117080,4
Kazakhstan,Comedy,3452,4388399426,15785609,85439199,5
Kazakhstan,Film & Animation,1808,1125245887,4465261,30836639,6
Kazakhstan,Sports,1444,2339441554,22280396,60802366,7
Kazakhstan,Howto & Style,1239,4748375489,48452811,72348614,8
Kazakhstan,News & Politics,595,160784561,3654195,3807905,9
Kazakhstan,Pets & Animals,304,850640187,44770536,15619553,10
Kenya,Music,20065,3254650044,2112038,86558915,1
Kenya,Gaming,15682,3383873289,779874,96511004,2
Kenya,Entertainment,9205,19287039272,20561876,521583751,3
Kenya,People & Blogs,8027,15835672954,23706097,324297723,4
Kenya,Sports,4707,4042655197,6296971,108181916,5
